"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","360","Maxthon","QQ Browser","SeaMonkey","Comodo Dragon","Flock","Pale Moon","iPod Touch","Sony PS3","Obigo","Iron","Kindle"
Bosnia and Herzegovina ,8.88,43.64,40.44,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,9.8,7.14,19.32,3.09,0,0,50.89,3.11,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,21.36,36.98,34.64,2.64,1.02,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,35.64,11.93,35.75,1.07,1.59,0,4.31,5.35,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,15.39,34.86,44.33,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,14.54,57.6,19.33,3.28,0,0,1.66,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,23.94,25.75,42.37,3.21,1.34,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,13.93,34.47,33.39,1.08,0,0,8.35,1.35,3.43,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,7.04,52.45,34.32,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,28.64,35.83,22.29,4.05,1.58,1.74,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,5.94,45.05,11.71,0,0,0,35.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,18.4,51.53,26.17,1.29,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,11.59,53.87,25.53,1.99,0,1.65,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,19.52,46.87,18.58,1.75,1.35,0,7.68,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,14.46,34.55,36.08,2.44,1.34,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,18.86,29.9,38.77,2.01,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,34.46,34.97,13.47,4.73,1.67,1.25,3.46,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,23.98,34.82,22.87,4.31,2.68,1.59,4.28,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,40.27,30.78,11.93,6.25,2.35,3.42,2.41,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,30.9,22.12,12.17,6.5,4.46,9.35,6.04,0,2.7,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,10.57,22.82,20.26,1.06,0,0,43.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,30.09,34.09,23.96,1.2,1.49,0,3.54,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,34.59,26.29,32.72,2.19,1.3,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,29.57,28.94,17.65,9.48,7.05,2.47,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,1.08,0,0,0
El Salvador ,21.73,43.25,27.92,2.27,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
