"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player"
Cook Islands ,58.34,25.18,8.97,4.67,0,0,0,1.05,0,0,0,0,0,0,0,0,0
Congo (Republic of the),44.64,31.88,5.24,1.43,0,0,0,11.44,2.84,0,0,0,0,0,0,0,0
Tonga ,38.22,44.85,7.71,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,62.22,27.17,8.52,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,51.22,18.18,24.94,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,53.17,33.8,3.36,2.29,0,0,0,2.98,2.06,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,75.91,13.95,4.23,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,48.88,31.19,8.26,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,75.94,16.1,5.24,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,42.48,28.25,19.91,4.75,0,0,0,0,1.21,0,0,0,0,0,0,0,1.63
Kiribati ,32.73,55.66,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,52.07,30.09,10.46,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,74.72,13.47,5.37,0,0,0,0,1.07,3.98,0,0,0,0,0,0,0,0
Central African Republic ,46.53,30.69,17.89,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,56.25,25.52,12.74,2.69,0,0,0,1.69,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,24.38,60.98,11.84,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,33.43,38.52,14.52,5.89,0,0,0,4.76,1.12,0,0,0,0,0,0,0,0
North Korea ,33.94,60.34,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,27.18,60.44,9.01,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,33.62,29.9,28.41,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,7.05,15.38,70.51,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,79.81,0,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
