"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Motorola Internet Browser","Windows Media Player","Sony PS3","Camino","Samsung","Mozilla"
Saint Vincent and the Grenadines ,45.9,31.58,2.83,16.04,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0
Malawi ,52.57,19.98,2.24,5.87,0,0,0,15.3,2.42,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,46.06,35.28,10.76,5.41,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0
Mali ,53.35,28.56,2.01,7.24,0,0,0,5.58,1.32,0,0,0,0,0,0,0,0,0,0
Dominica ,43.06,32.93,5.28,16.41,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),54.55,29.78,2.23,7.7,0,0,0,3.47,1.28,0,0,0,0,0,0,0,0,0,0
Mauritania ,49.56,29.35,1.15,16.52,0,0,0,1.63,1.3,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,38.29,20.45,1.26,8.8,0,0,0,29.23,0,0,0,0,0,0,0,0,0,0,0
Monaco ,46.86,24.45,15.18,10.27,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,65.93,20.77,2.42,8.97,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,66.34,20.47,1.5,5.62,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,54.26,24.09,6.86,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,55.59,23.38,2.52,7.68,0,0,0,7.51,1.67,0,0,0,0,0,0,0,0,0,0
Bhutan ,46.2,30.42,2.34,17.14,0,0,0,2.07,1.32,0,0,0,0,0,0,0,0,0,0
Rwanda ,35.76,40.96,3.54,9.57,0,0,0,7.13,2.13,0,0,0,0,0,0,0,0,0,0
Greenland ,65.65,19.59,7.3,4.37,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,49.77,31.55,2.14,12.09,0,0,0,2.57,1.09,0,0,0,0,0,0,0,0,0,0
Togo ,50.36,41.47,0,3.51,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0
San Marino ,52.58,26.25,9.8,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,30.11,56.51,1.58,5.31,0,0,0,4.11,1,0,0,0,0,0,0,0,0,0,0
Tajikistan ,38.78,21.13,1.39,7,0,0,0,29.92,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,61.27,22.37,1.14,6.63,0,0,0,7.29,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,73.67,11.93,0,4.4,0,0,0,6.66,1.42,0,0,0,0,0,0,0,0,0,0
Anguilla ,63.67,18.44,3.98,11.74,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,55.2,16.36,1.7,8.07,0,0,0,14.36,2.86,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,38.05,17.74,0,5.16,0,0,0,36.2,1.42,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,55.32,35.37,3.37,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,51.25,33.42,2.08,5.89,0,0,0,4.9,1.34,0,0,0,0,0,0,0,0,0,0
American Samoa ,50.95,28.92,8.64,10.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,56.23,20.71,1.69,6.42,0,0,0,9.81,2.7,0,0,0,0,0,0,0,0,0,0
Somalia ,87.38,8.66,0,1.45,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,53.59,31.14,2.84,9.75,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0
Congo (Republic of the),52.84,30.32,1.27,3.36,0,0,0,6.49,4,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,66.25,20.25,4.4,6.13,0,0,0,1.1,1.11,0,0,0,0,0,0,0,0,0,0
Samoa ,63.9,24.32,2.63,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,65.62,16.34,3.37,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,50.27,33.23,3.92,9.04,0,0,0,0,0,0,0,0,0,0,1.06,1.07,0,0,0
Tonga ,34.67,48.44,6.48,7.8,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0
Guinea ,53.06,36.23,0,3.9,0,0,0,2.29,2.76,0,0,0,0,0,0,0,0,0,0
Cook Islands ,55.68,26.07,6.42,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0
