"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron","RockMelt"
Turkmenistan ,20.07,15.83,11.8,3.46,5.86,3.5,19.84,12.24,4.31,1.09,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,23.45,8.48,26.44,3.23,1.36,1.26,24.32,7.07,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,32,27.83,23.47,12.23,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
Congo (Republic of the),34.38,11.75,34.69,4.66,1.18,0,7.98,1.36,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,23.34,7.99,21.37,2.24,0,0,22.22,12.99,3.7,1.84,1.03,0,0,0,0,0,0,0,0,0,0,0
Liberia ,35.86,10.77,24.48,6.08,1.31,0,12.55,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,37.8,20.16,32.67,6.39,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,34.29,13.69,31.18,2.47,0,0,12.44,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,31.82,14.15,39.95,3.35,0,0,6.24,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,43.19,13.9,32.49,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,35.33,21.26,34.87,4.17,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,34.05,12.26,34.12,4.25,0,3.58,9.52,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,46.75,22.49,20.67,7.82,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,65.63,12.75,11.91,6.27,0,1.06,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,32.58,5.41,57.82,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,46.95,11.6,28.66,7.96,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0
Guinea ,34.37,12.87,36.34,3.34,1.85,1.45,3.9,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,54.08,15.49,23.57,3.89,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,36.91,12.14,45.12,2.79,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,30,8.25,52.55,4.97,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0
Comoros ,40.86,24.87,30.01,1.82,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,21.12,18.83,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,21.65,28.82,43.49,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,34.59,12.31,35.84,10.31,4.42,1,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,28.12,24.8,33.55,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,46.45,26.55,18.29,4.39,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,1.36
Saint Helena ,75.84,12.59,9.16,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,37.57,11.94,26.84,11.19,3.54,0,2.92,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,27.11,7.07,17.46,3.63,0,1.14,18.21,19.37,0,1.99,0,0,2.54,0,0,0,0,0,0,0,0,0
North Korea ,43.49,16.67,22.57,2.43,0,0,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,23.38,30.94,39.63,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,54.6,19.38,23.02,1.01,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,28.09,22.45,41.66,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0
Tuvalu ,21.33,30.04,44.38,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,11.99,22.71,59.94,0,1.89,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,11.76,2.94,85.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
