"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Anguilla ,57.6,14.63,17.69,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,43.06,31.28,15.02,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,30.74,20.89,12.53,1.64,0,0,0,32.67,0,0,0,0,0,0,0,0,0
Swaziland ,54.36,15.83,9.58,2.44,0,0,0,14.73,2.07,0,0,0,0,0,0,0,0
Libya ,56.97,19.22,19.41,1.5,0,0,0,1.7,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,64.68,13.85,6.5,1.68,0,0,0,9.41,1.99,0,0,0,0,0,0,0,0
Niger ,42.97,26.41,6.97,1.88,0,0,0,13.67,4.55,0,0,1.72,0,0,0,0,0
American Samoa ,42.31,28.66,19.12,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,59.8,23.53,7.36,5.01,0,0,0,2.47,0,0,0,0,0,0,0,0,0
Sierra Leone ,48.9,29.72,7.89,2.13,0,0,0,8.22,1.24,0,0,0,0,0,0,0,0
Turkmenistan ,31.36,16.8,18.61,0,0,0,0,28.28,2.3,0,0,0,0,0,0,0,0
Solomon Islands ,53.17,13.8,5.97,2.94,0,0,0,16.03,4.56,0,0,0,0,0,0,0,0
Somalia ,55.28,11.87,5,0,0,0,0,24.61,1.99,0,0,0,0,0,0,0,0
Vanuatu ,43.39,34.02,11.75,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,43.5,40.51,10.95,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),41.97,25.67,7.05,2.59,0,0,0,13.95,5.37,0,0,0,0,0,0,0,0
Burundi ,41.32,36.26,11.19,3.69,0,0,0,5.1,1.42,0,0,0,0,0,0,0,0
Samoa ,55.39,28.38,10.26,3.15,0,0,0,1.68,0,0,0,0,0,0,0,0,0
Micronesia ,38.91,38.71,14.7,3.98,0,0,0,1.28,0,0,0,0,0,0,0,1.65,0
Eritrea ,48.59,46.08,2.82,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0
Tonga ,30.09,51.55,10.94,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,29.84,48.49,11.94,4.81,0,0,0,1.68,0,0,0,0,0,0,0,2.23,0
Timor-Leste ,34.75,47.81,8.8,3.31,0,0,0,1.92,2.45,0,0,0,0,0,0,0,0
Cook Islands ,50.92,26.19,16.4,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,61.22,27.6,9.6,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,66.37,15.81,7.49,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0
