"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Bolt","Windows Media Player","Mozilla"
Tajikistan ,31.27,21.18,11.24,1.44,0,0,0,33.04,0,0,0,0,0,0,0,0,0
Anguilla ,58.28,15.75,15.82,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,63.13,15.58,5.29,2.63,0,0,0,8.81,2.71,0,0,0,0,0,0,0,0
Niger ,47.28,33.27,8.48,2.11,0,0,0,5.31,2.25,0,0,0,0,0,0,0,0
Sierra Leone ,47.45,31.49,7.37,1.28,0,0,0,8.03,2.25,0,0,0,0,0,0,0,0
Liberia ,58.85,21.21,9.02,6.5,0,0,0,2.64,0,0,0,0,0,0,0,0,0
Turkmenistan ,39.34,17.4,9.42,1.12,0,0,0,27.88,2.89,0,0,0,0,0,0,0,0
American Samoa ,44.57,28.78,17.36,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,31.26,46.98,8.07,4.41,0,0,0,3.74,5.02,0,0,0,0,0,0,0,0
Somalia ,58.02,12.63,2.96,0,0,0,0,23.95,1.75,0,0,0,0,0,0,0,0
Vanuatu ,45.57,36.54,10.72,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,44.63,38.98,10.87,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,54.12,18.09,7.38,3.43,0,0,0,11.98,3.02,0,0,0,0,0,0,0,0
Burundi ,47.26,35.17,8.72,3.39,0,0,0,3.76,0,0,0,0,0,0,0,0,0
Micronesia ,41.83,33.36,17.56,4.59,0,0,0,0,0,0,0,0,0,0,0,1.54,0
Samoa ,57.01,23.53,10.19,4.97,0,0,0,1.97,1.59,0,0,0,0,0,0,0,0
Tonga ,33.27,49.36,9.72,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,45.6,47.12,4.35,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0
Congo (Republic of the),43.86,27.86,7.55,3.37,0,0,0,10.62,4.27,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,62.19,25.83,9.2,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,51.86,34.47,5.51,2.29,0,0,0,2.96,1.47,0,0,0,0,0,0,0,0
Cook Islands ,56.73,28.1,8.5,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,73.69,12.61,4.07,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,37.17,42.08,9.24,6.67,0,0,0,1.18,0,0,0,0,0,0,0,1.96,0
Kiribati ,32.37,59.1,6.86,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0
Mayotte ,57.22,29.33,6.4,4.56,0,0,0,1.05,0,0,0,0,0,0,0,0,0
Palau ,35.95,36.57,18.04,5.62,0,0,0,0,1.58,0,0,0,1.02,0,0,0,0
Montserrat ,37.02,44.64,15.35,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,50.14,29.45,14.5,1.95,0,0,0,1.08,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,72.48,14.2,9.42,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,56.38,23.44,6.55,7.86,0,0,0,1.18,0,0,0,0,0,0,0,0,3.54
Sao Tome and Principe ,64.31,20.93,9.61,0,0,0,0,1.43,2.87,0,0,0,0,0,0,0,0
Wallis and Futuna ,27.01,52.83,15.46,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,36.44,27.97,10.4,2.06,0,1.15,0,13.8,5,0,0,1.79,0,0,0,0,0
Tuvalu ,25.48,57.92,9.39,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,36.3,42.04,18.89,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,38.84,37.19,21.49,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0
Nauru ,22.58,16.13,61.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
