"Continent","IE","Firefox","Chrome","Safari","BlackBerry","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Bolt","Windows Media Player","Motorola Internet Browser","Camino","Mozilla"
Guyana ,48.85,34.19,10.92,1.58,0,0,1.04,2.19,0,0,0,0,0,0,0,0
Cuba ,41.82,50.16,3.93,0,0,0,0,2.72,0,0,0,0,0,0,0,0
Djibouti ,70.84,15.74,8.23,1.77,0,0,0,1.79,0,0,0,0,0,0,0,0
Cape Verde ,66.48,22.57,7.76,1.72,0,0,0,1.07,0,0,0,0,0,0,0,0
Zimbabwe ,44.98,32.3,8.07,2.66,0,0,2.69,8.35,0,0,0,0,0,0,0,0
Madagascar ,27.44,55.5,8.99,1.96,0,0,0,4.67,0,0,0,0,0,0,0,0
British Virgin Islands ,60.65,20.83,8.26,8.41,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,45.59,32.38,7.25,1.72,0,0,1.33,10.14,0,0,0,0,0,0,0,0
Uzbekistan ,24.27,25.3,7.85,1.35,0,0,1.18,38.29,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,50.95,28.17,12.07,5.58,0,0,0,1.89,0,0,0,0,0,0,0,0
Antigua and Barbuda ,51.2,26.8,13.41,6.16,0,0,0,1.21,0,0,0,0,0,0,0,0
Benin ,59.42,30.12,4.06,0,0,0,0,5.09,0,0,0,0,0,0,0,0
Burkina Faso ,58.41,29.03,5.58,0,0,0,0,4.52,0,0,0,0,0,0,0,0
Northern Mariana Islands ,55.69,27.37,10.67,2.61,0,0,0,0,0,0,0,0,1.18,0,0,0
Malawi ,53.6,19.81,5.75,1.54,0,0,3.34,14.26,0,0,0,0,0,0,0,0
Belize ,39.92,39.78,10.14,2.83,0,0,0,2.6,0,0,0,0,0,1.65,0,0
Saint Vincent and the Grenadines ,47.23,30.79,14.76,2.94,0,0,0,3.31,0,0,0,0,0,0,0,0
French Guiana ,46.21,39.34,9.29,3.62,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,52.1,30.61,9.24,4.72,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,55.42,26.41,13.95,1.2,0,0,1.48,0,0,0,0,0,0,0,0,0
Mali ,55.19,28.17,6.33,1.89,0,0,1.2,5.23,0,0,0,0,0,0,0,0
French Polynesia ,37.19,40.65,7.94,11.95,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,48.34,35.52,4.86,8.01,0,0,0,1.97,0,0,0,0,0,0,0,0
Dominica ,44.97,31.77,14.99,5.31,0,0,0,2.1,0,0,0,0,0,0,0,0
Kyrgyz Republic ,39.78,24.36,5.95,2.19,0,0,0,25.82,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,55.36,21.4,12.91,7.82,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),57.15,27.67,8.88,2.23,0,0,0,2.4,0,0,0,0,0,0,0,0
Papua New Guinea ,63.17,24.37,7.99,3.09,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,46.83,23.88,10.53,15.58,0,0,0,1.47,0,0,0,0,0,0,0,0
Gabon ,55.6,23.69,8.08,2.24,0,0,1.62,6.71,0,0,0,0,0,0,0,0
Bhutan ,49.82,28.66,15.13,2.52,0,0,0,2.34,0,0,0,0,0,0,0,0
Greenland ,63.68,22.7,5.14,5.63,0,0,0,1.81,0,0,0,0,0,0,0,0
Togo ,46.36,47.83,2.93,0,0,0,0,1.2,0,0,0,0,0,0,0,0
Lesotho ,66.12,22.87,4.99,1.16,0,0,0,3.99,0,0,0,0,0,0,0,0
Rwanda ,35.98,39.64,9.49,3.33,0,0,2.34,8.4,0,0,0,0,0,0,0,0
Seychelles ,51.01,31.52,11.81,2.3,0,0,0,2.28,0,0,0,0,0,0,0,0
Anguilla ,66.19,18.7,7.6,5.78,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,70.13,13.74,3.88,1.11,0,0,2.25,6.85,0,0,1.17,0,0,0,0,0
San Marino ,54.7,27.45,8.59,8.05,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,30.58,54.51,6.98,1.62,0,0,0,4.11,0,0,0,0,0,0,0,0
Tajikistan ,40.69,18.49,5.74,1.41,0,0,0,31.85,0,0,0,0,0,0,0,0
Turkmenistan ,42.46,19.17,3.85,0,0,0,1.3,31.88,0,0,0,0,0,0,0,0
Swaziland ,55.2,18.2,6.58,1.2,0,0,2.47,14.8,0,0,0,0,0,0,0,0
Niger ,51.77,32.03,6.63,2.07,0,0,1.82,4.41,0,0,0,0,0,0,0,0
Liberia ,52.71,20.76,5.58,3.98,0,0,2.3,11.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,62.51,29.97,3.26,2.84,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,63.19,26.44,6.69,1.3,0,0,0,1.76,0,0,0,0,0,0,0,0
American Samoa ,53.71,25.77,10.2,8.9,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,53.54,34.55,7.73,2.46,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,91.54,5.3,1.11,0,0,0,0,1.15,0,0,0,0,0,0,0,0
Congo (Republic of the),55.68,26.67,7.19,1.63,0,0,2.73,4.61,0,0,0,0,0,0,0,0
Solomon Islands ,62.88,20.88,10.26,3.8,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,61.46,29.73,3.9,0,0,0,1.79,1.05,0,0,0,0,0,0,0,0
Samoa ,60.46,27.46,7.85,2.46,0,0,0,1.05,0,0,0,0,0,0,0,0
Tonga ,36.02,47.81,7.87,4.97,0,0,0,0,0,0,0,0,0,0,2.37,0
Micronesia ,52.43,31.78,7.79,4.48,0,0,0,0,0,0,0,0,2.16,0,0,0
Montserrat ,61.6,16.24,16.01,3.03,0,0,0,2,0,0,0,0,0,0,0,0
Timor-Leste ,40.19,42.58,6.87,1.25,1.42,0,4.86,1.87,0,0,0,0,0,0,0,0
Eritrea ,69.19,27.22,1.46,0,0,0,0,1.4,0,0,0,0,0,0,0,0
Cook Islands ,56.88,23.98,7.85,10.16,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,76.78,12.86,4.39,4.15,0,0,0,1.12,0,0,0,0,0,0,0,0
Kiribati ,62.97,33.76,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,69.45,23.77,5.07,1.03,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,45.79,40.59,6.71,1.49,0,0,0,3.83,0,0,0,0,0,0,0,0
Marshall Islands ,43.98,39.75,6.47,5.15,0,0,0,0,0,0,0,0,0,0,0,2.53
Sao Tome and Principe ,76.3,17.28,4.05,0,0,0,0,1.63,0,0,0,0,0,0,0,0
Palau ,42.33,32.22,17.55,6.39,0,0,0,0,0,0,0,0,1.02,0,0,0
Central African Republic ,53.9,17.73,25.27,1.61,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,32.68,27.97,2.5,0,0,0,20.85,14.09,0,0,0,0,0,0,0,0
Guinea-Bissau ,89.14,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,49.84,33.26,11.57,3.6,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,63.71,27.67,4.45,0,0,0,0,2.73,0,0,0,0,0,0,0,0
Niue ,34.94,57.87,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,26.27,36.12,10.51,26.71,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,33.21,51.34,11.22,4.13,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,14.16,80.39,1.04,4.29,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,16.67,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0
