"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","RockMelt","AppleWebKit","Samsung","Openwave Mobile Browser","Unknown","Pale Moon"
Dominica ,25.94,39.71,20.92,7.19,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0
Benin ,13.11,32.57,40.61,1.64,0,1.25,6.98,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,38.17,35,18.72,3.72,0,1.15,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,11.12,32.88,11.92,2.78,0,2.94,31.25,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,13.77,40.88,28.88,4.45,0,1.04,6.37,1.26,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,13.95,39.64,27.83,2.24,0,1.1,6.51,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,15.14,18.32,18.69,0,0,0,40.28,2.03,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,29.19,20.83,19.86,23.94,2.03,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,28.76,16.84,27.97,7.27,0,1.97,10.3,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,39.78,15.86,23.66,14.52,2.42,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,30.61,30.12,19.01,14.08,2.28,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,40.78,25.04,14.6,12.98,1.31,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
