"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Pale Moon"
Guernsey ,28.17,22.51,12.25,23.58,6.3,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,12.7,22.91,41.55,3.65,0,2.63,0,10.54,0,1.61,1.78,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,22.59,29.7,24.36,15.06,1.51,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,29.62,44.7,16.93,3.49,0,2.01,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,18.82,43.72,23.3,6.82,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,28.36,33.96,15.66,12.99,2.38,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,28.26,42.57,13.5,6.17,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,20.92,45.61,15.76,11.59,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,18.42,8.04,8.31,3.03,1.25,7.69,0,31.35,0,4.13,13.1,0,0,0,0,0,0,0,0,1.78,0,0,0
Dominica ,21.58,46.23,18.57,7.19,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,10.55,36.86,9.74,2.71,1.57,4.77,1.29,25.3,0,1.26,4.02,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,10.18,35.75,34.63,1.71,0,2.99,0,7.77,0,1.94,2.36,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,18.83,16.37,22.24,3.22,1.7,8.52,0,14.34,0,3.48,5.14,1.26,0,0,0,0,0,0,0,0,1.18,0,0
Bhutan ,10.94,38.32,22.76,3.62,1.96,2.65,0,7.41,0,5.26,5.08,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,27.12,19.46,25.84,7.47,1.5,4.07,0,8.5,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,24.13,32.49,16.6,18.01,3.73,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,18.61,31.52,26.46,2.48,0,1.87,0,8.06,0,4.15,3.5,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,21.52,17.97,36.74,3.86,0,3.21,0,7.6,0,2.94,1.92,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,9.52,14.13,14.45,0,0,1.02,0,45.82,0,7.77,5.07,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,26.66,24.32,15.6,26.9,2.61,1.6,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,32.52,36.41,11.26,12.58,1.53,1.85,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0
Congo (Democratic Republic of the),16.78,13.17,23.33,4.99,1.58,7.12,0,18.35,0,5.42,4.71,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,10.44,13.86,40.04,3.4,3.15,6.79,0,14.38,0,4.01,1.63,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,37.51,18.32,12.3,18.51,5.69,4.2,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,35.52,15.74,22.83,16.41,4.46,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,27.42,34.97,10.35,14.69,2.89,6.53,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,26.67,25.7,27.05,5.45,1.48,2.6,0,5.86,0,1.23,2.64,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,16.99,37.92,30.93,4.21,0,4.26,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,15.1,3.15,4.71,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.93,0
Turkmenistan ,11.83,17.42,8.04,3.28,7.33,24.42,0,9.63,0,7.11,8.43,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,27.39,26.65,25.24,14.86,2.36,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,10.75,7.56,14.45,2.35,1.5,2.72,0,44.67,0,7.87,5.47,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,31.99,11.3,13.82,1.93,0,1.71,0,25.52,0,3.84,7.8,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,9.53,8.02,29.42,2.55,0,3.39,0,34.11,0,2.61,8.28,0,0,0,0,0,0,0,0,0,0,0,0
