"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","iPod Touch","Windows Media Player","Camino","Mozilla","Sony PSP"
San Marino ,47.2,28.31,14.36,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,34.33,21.09,9.55,1.48,0,0,0,0,31.61,0,0,0,0,0,0,0,0,0,0
Liberia ,52.44,20.86,7.02,4.04,0,0,0,2.32,11.08,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,34.78,16.64,6.89,0,0,0,0,1.96,37.24,0,0,0,0,0,0,0,0,0,0
Swaziland ,48.21,13.83,8.33,1.51,0,0,0,2.97,22.56,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,67.88,13.08,5.69,2.8,0,0,0,1.41,7.12,0,0,0,0,0,0,0,0,0,0
Niger ,49.23,34.81,6.35,2.33,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0
Somalia ,64.98,9.71,3.64,0,0,0,0,0,20.52,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,53.99,37.42,5.93,1.08,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0
American Samoa ,42.84,35.8,11.6,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,31.55,45.26,7.36,4.09,0,0,0,8.1,2.9,0,0,0,0,0,0,0,0,0,0
Vanuatu ,43.73,38.07,12.32,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,43.1,41.89,9.4,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,49.27,18.3,5.33,3.28,0,0,0,6.14,16.37,0,0,0,0,0,0,0,0,0,0
Micronesia ,51.21,27.05,13.28,5.46,0,0,0,0,1.1,0,0,0,0,0,0,1.25,0,0,0
Eritrea ,49.64,45.18,2.83,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0
Samoa ,50.86,31.88,12.42,2.63,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0
Tonga ,29.99,53.93,7.05,5.82,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0
Cook Islands ,58.21,21.06,12.71,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,58.76,14.85,22.15,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,60.6,28.02,9.6,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,77.28,13.56,3.57,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,45.14,37.36,8.7,5.07,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),42.49,27.95,5.14,1.12,0,0,0,4.66,15.63,0,0,0,0,0,0,0,0,0,0
Guinea ,48.35,34.42,5.7,1.29,0,0,0,4.76,3.36,0,0,0,0,0,0,0,0,0,0
Kiribati ,36.64,52.53,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,39.8,32.05,20.51,3.85,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,69.7,20.95,6.18,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,43.44,16.71,35.32,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,40.5,39.92,11.07,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,68.95,15.65,9.97,1.35,0,0,0,3.08,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,55.55,28.68,9.87,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,54.46,33.59,7.58,1.04,0,0,0,0,1.23,0,0,0,0,0,0,0,0,1.9,0
Chad ,34.19,45.56,8.41,4.46,0,0,0,1.62,3.65,1.53,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,27.91,51.55,12.05,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03
Niue ,43.64,36.76,16.22,1.92,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0
North Korea ,39.61,57.11,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,22.79,70.23,2.62,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,39.34,9.84,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,29.55,28.41,39.77,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
