"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Mozilla","Motorola Internet Browser","Windows Media Player","Camino","Samsung","iPod Touch"
Andorra ,52.58,22.8,15.33,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,23.38,22.42,8.04,1.07,0,0,0,41.66,1.55,0,0,0,0,0,0,0,0,0,0
French Polynesia ,34.08,41.93,10.72,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,46.39,30.09,17.8,3.5,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0
Grenada ,39.7,30.1,21.35,5.86,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0
Belize ,36.44,41.32,12.58,2.99,0,0,0,2.13,0,0,0,0,0,0,1.49,0,0,0,0
Zimbabwe ,35.31,29.28,8.43,2.69,0,0,0,16.49,4.82,0,0,0,0,0,0,0,0,0,0
Cape Verde ,64.54,21.87,10.01,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,63.28,21.04,10.13,1.76,0,0,0,1.91,1.16,0,0,0,0,0,0,0,0,0,0
Afghanistan ,59,25.55,6.08,2.61,0,0,0,4.48,1.08,0,0,0,0,0,0,0,0,0,0
New Caledonia ,40.5,34.01,13.65,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,38.36,29.29,7.95,2.42,0,0,0,19.61,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,49,25.92,15.43,7.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,44.53,25.95,17.32,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,51.77,24.28,15.77,4.57,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,46.95,19.72,5.72,2.58,0,0,0,20.13,2.83,0,0,0,0,0,0,0,0,0,0
Gibraltar ,53.5,24.22,12.78,5.94,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,40.61,41.09,13.06,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,46.38,24.72,8.35,17.56,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,42.85,30.02,20.26,3.57,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0
Benin ,48.76,31.17,5.43,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,40.25,38.66,6.88,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,60.65,19,9.38,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,46.64,31.99,15.41,1.09,0,0,0,1.6,2.78,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,64.48,20.73,7,2.21,0,0,0,3.22,1.46,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,55.73,27.52,8.19,1.57,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),49.83,31.8,7.31,2.27,0,0,0,4.62,2.48,0,0,0,0,0,0,0,0,0,0
Mali ,52.46,29.72,8.08,3.37,0,0,0,2.67,1.36,0,0,0,0,0,0,0,0,0,0
Dominica ,42.66,29.68,19.17,6.1,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,33.97,45.26,8.67,3.46,0,0,0,6.43,1.22,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,35.3,20.04,7.71,1.33,0,0,0,33.69,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,51.68,22.98,15.13,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,49.05,31.73,10.48,4.32,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,63.6,21.78,6.95,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,43.91,31.59,17.27,2.78,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0
Greenland ,65.72,19.08,5.67,6.13,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
Gabon ,50.17,26.48,6.98,3.22,0,0,0,8.77,1.6,0,0,0,0,0,0,0,0,0,0
Togo ,50.83,40.16,4.79,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0
San Marino ,48.67,28.26,13.34,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,66.68,14.93,12.24,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,33.76,51,6.58,1.26,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,54.5,16.58,10.29,1.27,0,0,0,13.36,1.89,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,32.09,13.53,5.06,0,0,0,0,44.54,2.45,0,0,0,0,0,0,0,0,0,0
Tajikistan ,34.77,23.04,9.25,1.09,0,0,0,29.93,1.01,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,69.4,14.1,3.29,2.37,0,0,0,6.62,2.21,0,0,1.1,0,0,0,0,0,0,0
Liberia ,49.98,22.34,5.85,5.4,0,0,0,12.23,2.65,0,0,0,0,0,0,0,0,0,0
Niger ,48.41,35.52,5.53,2.84,0,0,0,4.73,1.73,0,0,0,0,0,0,0,0,0,0
Somalia ,71.57,7.99,2.54,0,0,0,0,16.94,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,54.12,36.27,5.99,1.32,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,48.69,35.22,11.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,41.09,33.05,15.49,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,45.42,39.24,8.98,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,50.83,33.5,8.67,4.77,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0
Timor-Leste ,32.21,42.36,7.33,4.92,0,0,0,4.07,8.09,0,0,0,0,0,0,0,0,0,0
Samoa ,60.31,26.18,8.07,3.14,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,46.4,18.7,6.16,5.45,0,0,0,16.51,4.99,0,0,0,0,0,0,0,0,0,0
Eritrea ,53.54,39.31,4.01,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0
Tonga ,31.72,49.35,8.36,5.62,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0
Cook Islands ,55.17,25.44,9.98,5.08,0,0,0,0,0,1.87,0,0,0,0,0,0,0,1.12,0
Falkland Islands (Malvinas) ,73.35,12.02,3.33,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,56.03,29.75,11.91,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,54.97,22.62,17.2,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),44.75,25.23,5.86,1.95,0,1.19,0,12.44,5.99,0,0,1.07,0,0,0,0,0,0,0
Guinea ,51.26,35.49,4.59,1.17,0,0,0,2.76,2.65,0,0,0,0,0,0,0,0,0,0
Burundi ,48.68,35.16,7.93,4.69,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,43.25,41.72,8.17,2.53,0,0,0,0,0,0,0,0,0,1.86,0,1.19,0,0,0
Kiribati ,29.84,62.94,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,45.45,29.02,18.59,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,75.12,15.79,5.77,1.71,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,52.74,21.96,20.68,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,75.49,16.09,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,55.22,27.88,10.78,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,56.31,36.02,5.11,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0
Chad ,47.85,37.08,7.39,1.08,0,0,0,3.22,1.42,1.12,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,22.32,38.92,12.54,25.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,46.37,32.9,14.98,1.72,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0
Tuvalu ,29.62,63.93,1.79,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76
North Korea ,53.79,42.53,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,20,72.38,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0
Tokelau ,4.55,2.84,92.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
