Continent,Chrome,IE,Safari,Firefox,iPhone,Android,Yandex Browser,Opera,UC Browser,Nokia,NetFront,Unknown,BlackBerry,IEMobile,Sogou Explorer,QQ Browser,Maxthon,CoRom+,Puffin,Openwave Mobile Browser,iPod Touch,Obigo,SonyEricsson,Silk,Phantom,Dolfin,360 Safe Browser,Iron,Iceweasel
Maldives ,36.95,3.88,4.44,20.16,4.15,11.67,0,4.9,2.39,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,39.64,20.13,9.2,10.27,8.46,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,3.08,3.45,0,1.72,0,21.34,0,40.11,2.23,17.74,1.33,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0
Cote dIvoire ,24.31,5.12,1.71,20.77,0,8.73,0,15.32,3.29,3.12,4.3,0,0,0,0,0,0,0,0,1.82,0,3.44,0,0,3.82,0,0,0,0
Reunion ,32.51,11.75,9.16,27.77,4.12,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,36.77,21.16,5.78,13.82,3.28,11.89,0,1.67,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,13.28,6.22,2.6,41.2,0,4.31,0,20,4.22,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo ,5.87,3.45,1.46,6.47,1.04,8.8,0,39.7,5.11,8.01,7.76,0,0,2.2,0,0,0,0,0,3.48,0,1.27,1.53,0,0,0,0,0,0
Lao Peoples Democratic Republic ,25.13,8.84,5.57,17.35,9.05,10.92,0,8.47,3.62,6.41,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,49.47,13.31,3.63,20.14,1.66,4.49,0,1.46,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,24.39,22.25,8.31,10.67,3.24,6.75,0,18.78,0,2.19,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,37.28,14.84,17.11,12.88,6.87,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
Guadeloupe ,38.86,18.68,10.59,18.71,1.71,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,20.74,6.24,2.8,38.45,0,4.4,0,15.34,5.25,1.92,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,38.78,23.36,13.05,11.4,3.27,6.24,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,27.14,4.05,1.83,8.08,5.04,7.52,1.18,23.57,11.26,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,11.02,11.18,1.86,12.24,0,3,0,44.69,3.75,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,5.49,4.63,1.16,6.59,0,8.69,0,30.67,5.7,6.06,10.08,0,0,0,0,0,0,0,0,7.87,0,2.97,0,0,4.76,1.15,0,0,0
Kyrgyz Republic ,44.66,6.73,2.37,8.2,2.56,6.09,1.22,20.88,2.53,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,11.82,8.87,0,75.45,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,42.17,18.45,7.48,14.3,2.32,12.68,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,42.61,17.66,12.82,11.12,2.54,7.91,0,1.2,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0
Isle of Man ,25.56,30.13,23.01,11.81,4.06,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,18.94,17.13,3.75,9.45,2.1,8.31,0,22.67,1.76,10.98,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,24.33,14.37,4.12,21.17,6.07,7.63,0,10,4.91,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,31.49,25.4,14.71,9.41,8.13,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,24.96,20.08,3.79,21.25,1.25,3.84,0,7.45,6.16,6.54,0,0,1.34,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,38.88,8.29,2.44,21.13,2.04,5.21,0,9.43,2.79,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
Rwanda ,18.29,5.67,2.69,24.76,0,3.35,0,35.24,4.03,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,25.45,13.47,4.73,29.86,1.91,11.64,0,7.94,1.51,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,22,15.25,5.53,11.14,2.98,8.55,0,10.36,4.55,1.07,4.57,2,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0
French Polynesia ,32.47,12.7,16.25,27.27,2.98,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0
Cape Verde ,47.71,21.92,3.97,15.87,1.46,3.78,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,53.6,15.77,7.35,13.13,1.19,4.35,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
Jersey ,26.51,23.2,28.28,11.24,5.79,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,40.57,18.22,7.27,22.28,1.39,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,16.2,7.47,2.06,49.29,0,6.41,0,8.19,4.57,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
