"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Nokia","Opera","iPhone","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Windows Media Player","Motorola Internet Browser","Mozilla","Minefield"
French Polynesia ,39.97,39.18,7.23,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,43.09,34.27,13.57,5.64,0,0,2.49,0,0,0,0,0,0,0,0,0,0
Mauritania ,55.56,27.32,12.51,0,0,1.6,1.03,0,0,0,0,0,0,0,0,0,0
Malawi ,53.24,22.85,5.78,1.3,0,2.15,13.2,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,56.73,21.36,11.18,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,47.79,34.92,4.96,9.42,0,0,1.35,0,0,0,0,0,0,0,0,0,0
Gabon ,59.49,23.26,6.73,2.6,0,0,5.35,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),54.99,28.5,9.77,2.19,0,0,3.33,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,62.16,24.46,8.34,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,49.74,27.69,16.08,3.28,0,0,2.06,0,0,0,0,0,0,0,0,0,0
Monaco ,46.25,26.59,7.2,15.36,0,0,2.34,0,0,0,0,0,0,0,0,0,0
Seychelles ,55.26,30.09,9.49,1.83,0,0,2.45,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,37.8,21.24,5.92,1.03,0,0,32.3,0,0,0,0,0,0,0,0,0,0
Togo ,51.91,42.62,2.96,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0
Lesotho ,68.85,20.2,4.6,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0
Anguilla ,65.47,19.86,8.36,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,40.54,36.97,9.26,3.53,0,1.51,7.29,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,76.8,9.15,3.45,1.05,0,1.73,6.06,0,0,0,1.14,0,0,0,0,0,0
Greenland ,59.03,24.01,7.94,5.96,0,0,1.11,0,0,0,0,0,0,0,0,0,0
San Marino ,54.81,26.02,8.7,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,33.18,53.18,6.44,1.41,0,0,4.2,0,0,0,0,0,0,0,0,0,0
Tajikistan ,40.72,21.77,5.92,1.77,0,0,28.21,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,47.76,17.12,2.41,0,0,1.03,30.46,0,0,0,0,0,0,0,0,0,0
Liberia ,54.23,19.63,5.21,4.65,0,2.03,10.7,0,0,0,0,0,0,0,0,1.07,0
Niger ,49.35,34.05,6.08,1.13,0,2.87,4.95,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,65.01,25.93,6.12,1.08,0,0,1.26,0,0,0,0,0,0,0,0,0,0
Swaziland ,50.32,17.88,5.79,1.58,0,4.24,17.86,0,0,0,0,0,0,0,0,0,0
American Samoa ,46.86,32.42,8.21,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,85.17,13.22,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,91.53,5.6,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,49.73,35.99,8.66,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,45.79,43.38,4.87,3.91,0,0,1.31,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,69.48,18.55,6.7,3,0,0,1.02,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),56.71,26.12,5.13,0,0,4.29,4.87,0,0,0,0,0,0,0,0,0,0
Micronesia ,53.87,32.76,6.54,3.93,0,0,0,0,0,0,0,0,0,1.35,0,0,0
Tonga ,36.44,51.65,7.53,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,43.58,44.41,3.94,1.11,0,3.93,2.11,0,0,0,0,0,0,0,0,0,0
Samoa ,56.77,34.31,3.9,1.61,0,0,1.22,0,0,0,0,0,0,0,0,0,0
Guinea ,51.49,39.58,3.78,0,0,1.49,1.14,0,0,0,0,0,0,0,0,0,0
Montserrat ,58.77,17.64,17.32,3.99,0,0,1.66,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,77.69,12.28,4.26,3.22,0,0,2.14,0,0,0,0,0,0,0,0,0,0
Cook Islands ,57.29,28.58,7.28,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,63.74,32.72,2.13,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,60.12,32.18,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,45.63,39.87,7.02,1.84,0,0,3.74,0,0,0,0,0,0,0,0,0,0
Palau ,47.29,31.21,15.01,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,65.15,29.46,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13
Marshall Islands ,41.5,40.39,6.2,4.66,0,0,0,0,0,0,0,0,0,0,0,5.57,0
Central African Republic ,52.95,26.7,16.4,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,54.61,34.1,7.18,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,60.38,31.85,4.21,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0
Niue ,34.53,55.9,6.94,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0
Wallis and Futuna ,27.21,27.37,16.48,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,36.4,28.93,7.2,0,0,19.12,6.4,0,0,0,0,0,0,0,0,0,0
Tuvalu ,28.68,49.86,18.66,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,87.22,9.69,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,24.72,57.3,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,80.82,0,0,0,0,0,19.18,0,0,0,0,0,0,0,0,0,0
North Korea ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
