"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","Unknown","Phantom","Silk","Midori"
Namibia ,35.87,20.11,17.73,5.21,1.89,4.29,9.52,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,28.43,22.84,11.98,28.53,3.96,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,25.27,40.84,20.73,6.45,0,1.82,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,26.33,43.44,19.02,6.11,0,1.11,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,32.83,21.68,21.81,5.03,0,2.26,6.44,0,0,4.11,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,22.84,17.18,24.7,3.56,3.97,3.67,11.32,0,0,4.88,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,31.97,26.36,20.22,9.2,1.99,2.5,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,30.23,20.12,11.17,25.39,6.93,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,21.74,12.1,23.58,2.71,0,2.43,29.52,0,0,2.68,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,20.86,23.63,30.63,5.71,1.59,4.77,7.8,0,0,1.15,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,17.88,25.95,33.02,17.15,1.48,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,21.76,31.49,28.31,7.33,2.29,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,14.69,19.85,43.33,4.35,0,2.22,10.04,0,0,1.63,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,25.83,14.29,3.33,8.33,35,0,0,0,1.67,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0
Cayman Islands ,30.23,29.8,15.15,18.62,2.48,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,30.32,31.42,16.48,12.66,3,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.62,41.8,23.06,6.62,0,1.38,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,26.34,31.51,25.16,6.8,1.73,5.93,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,15.18,15.6,59.16,1.8,0,1.53,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,29.87,41.55,12.96,5.54,1.2,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,26.24,27.39,25.85,13.74,1.23,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,11.34,33.77,10.16,2.65,1.17,3.69,28.08,0,0,1.22,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,22.43,41.07,17.86,12.27,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,26.89,36.04,17.69,9.93,1.42,2.82,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0
Dominica ,22.37,41.37,23.51,7.09,0,1.2,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,12.07,36.2,25.69,2.49,1.04,1.83,10.19,0,0,1.3,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,34.33,38.76,18.27,3.73,0,1.32,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,32.61,18.01,26.26,7.8,1.17,2.98,6.99,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,11.52,43.6,27.32,2.75,1.14,1.25,6.02,0,0,2.65,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,11.86,35.9,36.38,1.52,0,1.64,6.92,0,0,1.34,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
