"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Obigo","Phantom","Silk","Iron","Samsung","Openwave Mobile Browser","Sony PS3","Pale Moon"
Iceland ,46.81,14.63,19.61,13.15,1.63,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,45.11,14.63,24.68,2.37,1.35,3.05,0,3.62,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,49.65,20.64,14.16,8.02,1.91,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,38.97,11.68,19.29,3.14,2.11,7.07,0,10.13,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,23.78,10.36,36.12,1.34,1.3,9.81,0,3.09,0,4.13,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,24.38,42.22,8.08,18.35,3.48,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,20.73,9.19,44.93,3.81,0,4.02,0,9.54,0,3.29,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,42.39,13.46,25.61,4.39,0,4.02,0,4.26,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.12,12.43,15.19,1.76,0,1.95,0,49.24,0,2.45,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,40.59,17.35,13.76,8.84,5.65,11.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,37.39,15.09,34.07,3.6,1.29,3.23,0,2.39,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,37.02,4.63,41.98,4.58,1.64,7.43,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,28.01,7.4,20.53,9.37,3.9,11.9,0,14.93,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,23.35,5.92,29.98,5.92,8.57,9.83,0,4.34,0,5.36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,46.89,19.33,19.3,6.19,1.03,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,38.55,25.96,11.93,12.61,2.15,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,24.03,22.73,26.12,15.39,5.57,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,17.71,44.48,8.02,24.48,1.9,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,16.55,22.89,10.26,6.58,1.58,3.21,0,35.8,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,12.45,12.77,26.71,3.15,1.11,4.91,0,22.19,0,7.24,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,12.02,24.04,20.38,0,1.03,1.31,0,23.12,0,9.88,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,10.19,22.49,18.05,2.91,1.21,5.31,0,29.46,0,2.21,4.34,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,42.16,6.22,30.03,5.49,2.43,5.68,0,2.53,0,1.83,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,13.74,9.58,35.39,2.54,0,3.9,0,22.7,0,4.22,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
