"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","Maxthon","QQ Browser","Sleipnir","CoRom+","Puffin","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Phantom","Samsung","Jasmine","SonyEricsson","Dolfin","Midori","Iron"
Iceland ,15.82,47.45,12,17.88,2,1.39,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,18.25,30.78,5.83,7.47,5.8,19.29,0,0,4.03,3.16,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,1.83,9.61,2.99,42.64,2.39,33.95,0,0,2.62,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,18.48,50.73,8.49,14.18,2.07,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,9.3,38.61,3.23,15.95,2.44,9.42,0,0,12.6,1.67,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,10.26,41.77,4.11,20.81,1.01,4.66,0,0,7.9,1.63,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,10.88,44.56,2.54,21.84,1.52,3.42,0,0,4.55,1.43,3.54,0,0,1.03,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0
Ghana ,5.22,15.23,2.61,28.49,0,5.02,0,0,24.91,9.3,4.52,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,25.94,30.14,12.17,20.41,5.23,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,11.75,32.45,3.09,39.41,1.32,3.3,0,0,2.76,1.08,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,37.37,25.52,20.82,7.51,4.41,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,9.05,9.09,1.86,6.93,0,2.72,0,0,36.98,5.35,17.46,2.67,2.37,0,0,0,0,0,0,0,0,1.37,0,0,1.41,0,0,0,0,0,0,0,0
Brunei Darussalam ,6.17,29.13,10.04,14.2,4.12,11.52,0,0,18.66,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,17.31,48.97,7.42,15.66,1.34,4,0,0,1.17,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,8.01,26.18,1.36,32.8,1.57,13.57,0,0,3.96,4.58,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,13.57,10.51,0,31.18,0,1.11,0,0,23.19,8.83,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,6,24.9,6.07,28.55,8.51,10.03,1.09,0,3.58,5.58,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,11.56,7.55,1.91,11.71,0,3.23,0,0,39.82,3.82,9.68,3.73,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,4.25,38.69,4.83,37.33,2.66,8.72,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,3.45,2.38,0,1.5,0,7.81,0,0,45.06,2.95,20.47,2.72,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0
Uganda ,6.61,11.85,1.81,26.18,0,3.93,0,0,33.46,4.28,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,24.66,40.38,12.06,10.02,2.92,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
Bermuda ,44.3,19.62,23.87,7.31,1.48,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,7.08,6.83,0,8.06,0,1.36,0,0,51.21,3.84,12.49,2.11,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
Maldives ,4.74,35.8,4.38,21.85,2.28,6.41,0,0,6.34,2.03,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,21.28,38.27,8.26,10.62,7.91,9.08,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,4.94,20.21,1.46,19.62,0,3.37,0,0,16.95,3.1,4.33,7.95,0,0,0,0,0,0,0,0,0,1.75,0,0,5.59,0,6.1,0,0,0,0,0,0
Congo (Democratic Republic of the),3.3,3.19,1.07,5.48,0,2.87,0,0,34.22,4.02,11.12,16.09,3.68,1.09,0,0,0,0,0,0,0,3.86,0,0,2.3,0,0,2.05,1.37,1.15,0,0,0
Reunion ,12.61,32.27,9.05,30.82,3.18,8.06,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,25.75,21.52,7.95,10.53,2.87,5.01,0,0,19.51,1.29,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,6.75,12.59,1.79,42.76,0,2.8,0,0,13.91,6.99,3.11,1.31,1.31,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0
Suriname ,21.82,37.81,6.37,14.62,2.27,8.25,0,0,1.82,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,17.69,37.98,15.91,11.23,5.9,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0
