"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","Unknown","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Madagascar ,19.41,55.94,16.64,2.37,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0
Haiti ,52.67,22.48,16.4,4.35,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0
 ,9.36,79.61,7.35,1.28,0,1.35,0,2.01,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,17,22,13.27,1.62,0,0,0,42.81,1.59,0,0,0,0,0,0,0,0,0
French Polynesia ,28.33,42.7,14.58,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,30.51,27.35,9.35,2.62,0,0,0,25.19,2.59,0,0,0,0,0,0,0,0,0
Guyana ,41.01,32.68,20.8,1.77,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0
Cape Verde ,60.02,21.95,14.34,1.86,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
Belize ,36.38,41.4,14.54,3.27,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0
Zambia ,35.63,27.59,8.19,3.12,0,0,0,22.09,1.31,0,0,0,0,0,0,0,0,0
Malawi ,43.54,20.34,6.19,2.06,0,0,0,22.19,2.89,0,0,0,0,0,0,0,0,0
New Caledonia ,36.01,31.45,19.33,10.74,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
Andorra ,47.15,21.31,19.81,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,36.47,26.24,30.49,4.01,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0
French Guiana ,36.46,36.99,20.56,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,39.27,28.49,25.31,3.54,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,46.57,19.21,27.02,2.7,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,40.72,25.09,25.44,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,39.48,26.76,21.91,8,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0
Gibraltar ,47.58,22.23,20.24,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,53.45,24.65,13.72,2.79,0,0,0,2.54,0,0,0,0,0,1.29,0,0,0,0
Saint Vincent and the Grenadines ,34.86,25.52,32.71,3.58,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0
Monaco ,42.59,21.65,12.12,21.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,41.18,35.63,7.88,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,35.14,30.91,25.09,0,0,0,0,3.4,3.33,0,0,0,0,0,0,0,0,0
Dominica ,35.75,27.56,27.77,5.6,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,61.54,20.39,7.99,3.5,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,26.91,22.17,13.3,2.46,0,0,0,33.12,0,0,0,0,0,0,0,0,0,0
Rwanda ,27.84,46.92,11.73,3.45,0,0,0,7.31,1.38,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,52.21,17.02,19.51,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,44.44,35.08,10.51,2.89,0,0,0,2.09,2.32,0,0,0,0,0,0,0,0,0
Lesotho ,61.69,19.8,7.66,1.77,0,0,0,6.14,1.4,0,0,0,0,0,0,0,0,0
British Virgin Islands ,53.24,19.18,14.47,9.63,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,45.66,29.53,13.69,5.09,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0
