"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Maxthon","QQ Browser","iPod Touch","Obigo","Silk","Windows Media Player","Chromium","Iron","Unknown","RockMelt","Mozilla"
Guernsey ,35.82,20.18,13.13,20.87,2.67,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,28.51,40.01,21.21,5.09,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,34.31,20.96,26.42,4.6,1.24,0,5.62,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,22.78,11.44,22.95,4.2,1.95,1.06,29.61,1.36,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,27.34,39.19,23.37,5.21,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,35.12,25.9,19.93,7.64,1.41,1.12,4.79,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,90,20.21,10,10.25,9.29,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,32.38,29.25,17.63,15.48,1.1,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,18.92,23.13,38.97,14.44,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,13.07,31.89,45.11,1.26,0,0,5.06,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,27.63,9.59,20.77,2.03,1.18,3.69,27.99,1.47,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,15.31,26.93,13.91,3.68,1.19,0,34.95,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.36,42.58,26.31,4.72,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,24.97,24.25,31.78,14.13,1.54,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,19.57,16.84,43.64,4.19,1.12,0,10.78,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,10.44,10.1,12.73,0,0,0,57.29,3.66,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,26.12,29.47,31.41,5.79,2.26,1.52,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,28.52,37.39,20.56,9.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,33.2,31.54,18.3,11.28,2.31,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,31.79,42.81,15.19,3.86,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,22.03,6.25,9.08,2.65,4.39,0,37.93,2.43,8.52,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0
Antigua and Barbuda ,33.3,33.07,20.35,7.85,1,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,27.11,39,21.34,6.76,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,17.73,38.85,29.29,2.98,0,0,5.41,1.06,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,37.26,34.16,21.04,3.58,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,12.77,38.84,30.56,2.18,1.09,0,7.18,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,26.91,30.21,29.68,4.87,3.93,1.28,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,12.01,33.28,13.16,2.03,1.58,0,31.11,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,32.93,27.35,19.87,13.72,1.46,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,23.56,19.24,37.11,2.53,0,0,8.71,1.8,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
