"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Sogou Explorer","Maxthon","QQ Browser","IEMobile","iPod Touch","SeaMonkey","Sony PS3","Nintendo 3DS","Obigo","Silk","Samsung","Unknown"
Cape Verde ,36.7,35.06,20,3.77,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,12.25,31.49,13.55,2.19,2.03,0,32.42,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,16.4,38.97,28.76,3.98,1.49,0,5.92,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,31.19,26.37,21.77,14.5,1.51,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,24.86,29.32,27.3,2.33,1.3,0,8.8,1.01,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,43.52,12.26,24.07,12.38,1.54,2.59,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,24.17,18.1,37.32,2.76,1.17,0,9.08,1.75,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,29.55,19.31,22.65,22.12,0,1.97,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,12.72,12.33,49.18,3.02,3.05,2.01,10.86,1.96,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,39.18,26.44,13.24,12.95,2.07,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0
Seychelles ,37.08,18.1,28.71,5.53,2.12,1.08,3.88,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,30.1,17.04,25.53,7.44,1.92,1.52,10.91,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,24.72,16.27,30.65,3.24,2.74,0,7.6,1.51,4.49,2.49,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,34.08,29.39,15.6,15.31,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,50.31,15.57,13.39,14.95,1.54,1.78,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
