"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Iron","Obigo","Flock","Windows Media Player"
Liechtenstein ,46.49,29.26,8.71,11.39,0,1.13,1.02,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,20.64,20.39,18.23,2.5,0,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,37.3,18.21,36.35,3.47,1.34,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0
Congo (Democratic Republic of the),39.01,31.31,11.9,2.62,0,0,7.08,3.74,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,50.93,17.52,18.39,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,34.41,24.25,32.11,6.49,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,41.34,33.92,12.36,2.48,0,0,5.7,1.2,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,45.97,13.86,8.24,3.2,0,0,14.69,4.91,0,0,0,0,0,0,0,0,5.65,0,0
Djibouti ,39.79,28.49,21.04,1.76,0,0,6.07,1.08,0,0,0,0,0,0,0,0,0,0,0
Gabon ,42.9,24.79,15.55,6.08,0,0,6.37,1.27,0,0,0,0,0,0,0,0,0,0,0
Mali ,39.86,33.92,15.39,3.11,0,0,1.48,2.15,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,24.91,30.72,33.49,4.17,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,22.24,49.74,10.06,2.99,0,0,8.9,1.54,0,0,0,0,0,0,0,0,0,0,0
Togo ,33.22,52.17,8.02,1.43,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,58.3,15.94,10.44,1.89,0,0,9.96,1.45,0,0,0,0,0,0,0,0,0,0,0
Greenland ,61.29,15.42,10.83,8.91,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,28.64,26.56,33.56,2.31,0,0,4.39,2.51,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,43.09,18.25,25.76,9.23,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,23.14,18.16,20.93,2.02,0,0,32.51,1.05,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,42.18,12.81,8.89,1.91,0,0,29.53,2.62,0,0,0,0,0,0,0,0,0,0,0
San Marino ,37.39,30.93,20.12,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,50.32,15.9,24.13,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,47.08,23.34,13,0,0,0,11.45,2.53,0,0,1.17,0,0,0,0,0,0,0,0
Liberia ,52.07,23.05,11.63,4.62,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,27.7,46.5,14.57,4.5,0,0,2.98,2.41,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,38.11,33.73,6.29,2.71,0,0,14.19,1.86,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,49.56,20.1,10.03,3.35,0,0,11.89,2.48,0,0,0,0,0,0,0,0,0,0,0
Niger ,32.02,28.83,10.36,2.54,0,0,15.14,5.43,0,0,0,2.07,0,0,0,0,0,0,0
Turkmenistan ,28.12,17.49,12.25,2.43,2.63,4.49,24.96,5.65,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,27.63,25.87,24.17,20.16,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),42.2,35.31,9.49,3,0,0,5.45,1.66,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,37.68,21.9,8.12,5.73,0,0,15.59,6.33,0,0,0,1.02,0,0,0,0,1.13,0,0
Micronesia ,33.6,36.09,20.83,6.52,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,35.43,38.44,11.41,3.3,0,0,8.34,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,37.96,38.03,16.05,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,40.31,34.57,17.23,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,28.59,53.64,9.92,5.4,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,49.02,28.28,9.64,3.93,0,0,3.27,1.95,0,0,0,0,0,0,0,0,0,0,0
Samoa ,46.6,32.56,11.99,4.2,0,0,2.22,1.11,0,0,0,0,0,0,0,0,0,0,0
