"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Samsung","Openwave Mobile Browser","Obigo","Unknown","Midori","Iron","Maemo browser","Sony PS3"
Martinique ,26.81,32.85,19.94,7.6,1.85,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,22.37,39.34,28.07,3.61,0,1.81,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,11.68,41.3,12.47,2.84,1.43,3.64,22.19,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,34.21,28.04,12.93,13.2,3.45,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,8.5,23.5,50.83,3.99,0,2.16,6.78,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,35.31,20.65,17.38,5.02,1.95,5.01,9.56,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,25.25,40.76,20.47,6.95,0,2,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,24.54,18.67,17.67,5.2,1.05,3.1,18.82,0,0,2.91,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,24.55,43.16,19.06,8.2,0,1.16,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,33.08,21.66,23.43,4.76,0,2.34,5.3,0,0,3.1,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,20.89,16.38,23.95,3.39,4.52,4.38,11.45,0,0,5.31,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,21.68,12.3,23.65,2.32,0,2.47,30.14,0,0,2.27,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,11.7,12.62,67.62,1.73,0,1.13,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,28.64,23.21,12.21,27.2,3.97,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,21.96,24.54,29.87,5.39,1.62,4.69,8.15,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,31.84,27.87,13.83,19.06,2.92,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,30.38,27.11,19.3,9.28,1.99,2.86,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,33.33,66.67,10.28,14.46,25.34,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53
Guernsey ,29.41,20.66,11.96,25.03,6.38,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,16.85,26.35,32.89,17.62,1.69,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,28.85,31.98,16.02,13.77,2.98,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,13.51,21.95,41.42,4.14,0,3.12,10.21,0,0,1.72,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,22.51,30.18,29.13,6.98,2.31,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,11.49,35.53,28.88,2.42,1.13,2.31,8.74,0,0,1.28,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,15.72,6.98,10.14,2,0,7.62,36.62,0,0,5.11,10.64,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0
French Guiana ,23.56,33.91,26.86,7.35,1.12,4.48,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,29.23,39.73,13.81,6.5,1.04,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,25.88,34.9,16.64,11.76,1.81,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0
New Caledonia ,23.77,28.26,26.76,14,1.24,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,19.66,40.16,25.36,7.55,0,1.81,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,10.81,34.88,10.33,2.9,1.41,4.5,26.39,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,20.84,42.88,20.22,8.81,0,1.86,1.02,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,21.86,38.39,16.8,14.46,1.98,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,13.07,33.91,36.07,1.65,0,2.27,7.23,0,0,1.26,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,29,18.75,26.47,7.82,1.29,3.35,7.82,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
