"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","BlackBerry","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Phantom","Openwave Mobile Browser","Unknown","Iron","Maemo browser","RockMelt","Pale Moon"
Estonia ,18.94,36.45,32.86,4.99,0,2.06,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,20.21,47.72,18.39,5.83,0,3,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,24.53,32.84,17.8,2.59,0,1.78,17.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,23.57,42.68,20.17,3.53,1.64,2.56,2.62,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,33.6,37.22,13.55,5.33,0,6.38,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,28.89,36.13,23.11,5.85,1.39,2.43,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,8.36,36.68,28.67,2.08,1.46,2.27,13.95,1.3,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.36,69.96,17.41,1.64,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,11.45,34.11,35.07,1.29,2.98,3.88,7.38,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,8.18,13.21,46.95,2.62,0,2.44,16.2,2.54,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,23.74,30.73,16.34,7.42,4.38,10.05,2.64,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,45.54,22.96,9.05,15.73,2.95,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,2.28,5.42,52.14,2.46,2.31,29.42,2.44,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,17.82,44.83,24.09,5.04,0,1.82,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,10.49,15.76,32.61,3.2,0,3.45,26.49,4.07,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,29.01,24.46,10.61,6.45,5.05,12.49,1.83,5.37,2.14,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,11.8,8.51,21.13,1,0,3.64,30.26,17.74,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,8.14,29.47,49.93,3.67,1.02,4.85,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,26.15,23.31,11.13,2.86,1.56,12.15,1.7,12.03,6.13,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,16.31,45.37,22.24,11.99,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,17.06,43.7,27.98,2.17,0,1.85,3.31,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,14.86,18.51,39.65,1.25,1.22,6.68,4.34,9.15,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,26.72,44.5,16.03,6.88,1.31,2.44,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,16.83,37.3,20.67,2.29,1.05,3.73,9.42,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,15.21,38.6,28.75,4.41,0,2.69,4.42,2.3,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,9.04,20.82,37.09,5.93,6.38,6.77,5.43,4.19,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,47.87,13.66,9,25.51,1.28,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
