"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","Chromium","CoRom+","Phantom","Puffin","iPod Touch","SonyEricsson","Obigo","Openwave Mobile Browser","Silk","Iron","Kindle","Mozilla","Iceweasel"
Zambia ,8.23,10.06,9.38,1.92,1.31,6.64,0,0,40.61,2.02,4.39,10.97,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,11.43,7.87,6.89,1.74,0,8.24,0,0,41.42,1.43,5.15,9.53,0,0,0,0,0,0,0,0,0,0,0,1.21,1.06,0,0,0,0,0,0
Brunei Darussalam ,30.57,4.96,12.51,10.91,5.51,14.32,0,0,16.79,0,1.81,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,30.15,14.88,20.37,15,12.12,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,10.97,4.85,28.14,0,1.67,2.73,0,0,30.07,0,12.28,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,42.44,3.63,33.64,4.64,3.97,8.81,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,27.74,6.32,28.84,1.45,1.69,16.85,0,0,5.83,0,4.65,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,13.02,5.63,24.57,1.9,0,6.64,0,0,34.4,1.02,4.04,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,41.73,22.46,10.44,11.93,3.08,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,21.9,41.1,7.06,24.61,1.75,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,38.7,9.44,22.27,6.3,4.76,14.7,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,42.35,17.7,9.47,9.41,8.16,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,26.66,4.18,20.79,1.74,1.12,14.5,0,0,16.06,0,2.61,2.18,2.25,0,0,0,0,0,0,0,2.46,0,0,0,1.63,1.03,0,0,0,0,0
Angola ,19.41,16.3,7.92,7.11,3.06,6.25,0,0,35.28,1.23,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,39.45,3.6,17.44,4.21,5.57,14.23,0,0,4.58,0,2.83,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,3.96,3.46,2.18,0,0,28.51,0,0,39.17,0,3.87,11.6,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0
Cameroon ,14.72,6.22,42.49,3.01,0,5.08,0,0,19.03,0,3.3,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,38.07,16.45,12.78,6.29,2.79,16.33,0,0,1.98,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),7.24,3.59,7.66,1.52,1.47,14.08,0,0,40.26,3.07,5.94,5.3,3.84,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0
Lao Peoples Democratic Republic ,25.77,8.08,15.6,5.58,8.58,13.06,0,0,6.75,4.72,3.86,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,29.45,27.58,8.17,22.71,8.29,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,48.19,13.96,19.94,4.04,1.43,5.31,0,0,2.11,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,39.3,13.8,10.37,18.53,6.68,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0
Guadeloupe ,43.11,14.2,16.48,10.37,2.87,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,44.87,20.39,9.05,12.7,3.57,5.91,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
