"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player","Camino"
Madagascar ,22.67,57.47,13.58,2.89,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
Grenada ,42.09,26.45,23.87,5.31,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,44.67,27.15,21.65,3.54,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,34.2,28.95,9.14,2.85,0,0,0,19.55,3.11,0,0,0,0,0,0,0,0,0
Belize ,38.09,43.74,12.46,3.12,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0
French Polynesia ,31.75,42.15,13.39,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,59.61,21.57,15.35,1.92,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
Andorra ,48.91,22.06,17.4,8.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,36.4,29.57,8.39,2.72,0,0,0,19.25,1.62,0,0,0,0,0,0,0,0,0
Malawi ,44.9,22.37,6.39,2.11,0,0,0,18.87,2.89,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,43.87,27.53,19.65,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,39.37,33.28,17.16,7.31,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0
Gibraltar ,51.03,21.7,17.31,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,57.05,23.93,12.94,1.49,0,0,0,2.89,0,0,0,0,0,0,0,0,0,0
New Caledonia ,36.05,35.52,16.32,9.48,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,48.59,22.33,21.85,3.56,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,49.9,36.35,6.92,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,41.89,28.07,23.26,3.64,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0
Monaco ,45.3,21.82,11.12,17.39,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0
French Guiana ,38.45,38.25,16.58,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,40.37,36.44,7.72,12.53,0,1.04,0,1.13,0,0,0,0,0,0,0,0,0,0
Seychelles ,39.59,32.47,17.43,6.94,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0
Mali ,56.45,28.02,8.83,2.55,0,0,0,1.22,1.5,0,0,0,0,0,0,0,0,0
Dominica ,40.09,27.48,22.32,7.52,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,64.26,18.31,7.69,4.03,0,0,0,3.08,1.33,0,0,0,0,0,0,0,0,0
Burkina Faso ,51.13,32.13,8.39,1.94,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0
Mauritania ,42.53,31.4,21.08,1.39,0,0,0,1.7,1.36,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),49.1,31.63,9.35,2.58,0,0,0,4.52,1.35,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,30.33,20.71,11.44,1.85,0,0,0,33.11,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,56.16,19.1,12.74,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,33.23,43.59,10.43,3.57,0,0,0,6.3,1.76,0,0,0,0,0,0,0,0,0
Lesotho ,64.41,19.77,6.94,1.22,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,46.94,20.48,20.09,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,58.58,17.93,9.07,11.48,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
Gambia ,29.6,53.11,7.56,1.95,0,0,0,5.06,0,0,0,1.11,0,0,0,0,0,0
Gabon ,49.4,27.13,10.84,3.81,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
Bhutan ,37.93,31.86,23.04,2.01,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0
Togo ,48.35,45.39,3.45,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,44.09,30.64,14.48,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,29.92,20.7,11.54,1.35,0,0,0,34.68,0,0,0,0,0,0,0,0,0,0
Anguilla ,59.66,15.39,15.23,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,56.88,15.91,8.56,1.62,0,0,0,13.98,1.85,0,0,0,0,0,0,0,0,0
