"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","360 Safe Browser","QQ Browser","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Sony PS3","Unknown","Obigo","Iron","Kindle"
Mauritania ,15.98,34.44,31.04,2.14,0,0,8.26,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,44.62,10.44,24.08,13.88,1.02,3.25,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,24.93,18.35,34.72,2.87,0,0,9.41,0,1.54,3.08,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,26.69,25.67,30.5,2.44,0,0,8.82,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,15.87,11.67,46.85,3.49,2.16,1.78,10.33,0,1.48,2.91,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,55.18,14.51,14.35,10.83,1.24,1.96,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,29.51,16.81,35.78,2.68,1.34,0,7.08,0,1.48,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),29.39,14.58,30.02,4.23,1.71,0,10.02,0,2.08,3.93,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,32.83,24.96,27.6,11.56,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,31.31,9.32,15.02,3.1,2.41,0,24.38,0,3.11,5.55,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0
Holy See (Vatican City State) ,85.82,4.9,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,37.83,28.24,15.7,13.39,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
