"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","Unknown","iPod Touch","Bolt","Sony PS3","Obigo","SonyEricsson","Windows Media Player","IEMobile"
Micronesia ,43.81,34.91,13.56,4.67,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,1.15,0
Congo (Republic of the),40.6,32.68,7.43,4.35,0,0,0,9.22,2.95,0,0,0,0,0,0,0,0,0,0,0
Tonga ,27.87,54.72,8.97,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,47.77,31.24,12.6,4.53,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,40.32,38.02,15.6,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,40.22,39.01,10.64,2.67,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,64.02,25.59,8.07,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,46.9,24.34,22.55,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,66.34,20.75,7.55,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,54.8,32.41,5.32,1.39,0,0,0,1.84,1.43,0,0,1.12,0,0,0,0,0,0,0,0
Eritrea ,48.24,47.12,1.93,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,46.75,16.99,31.33,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,68.03,20.31,8.99,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,68.07,13.96,12.84,2.46,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,41.75,39.99,9.01,5.01,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,32.23,54.58,10.51,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,35.19,37.45,14.96,7.44,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,1.24,0
Central African Republic ,56.69,24.5,12.39,2.27,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,86.5,7.16,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,37.88,33.7,18.48,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,48.66,28.64,8.78,9.15,0,1.17,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,26.65,19.42,3.78,3.18,0,0,0,27.58,12.06,2.26,0,1.47,0,0,0,0,0,0,0,1.68
North Korea ,56.34,34.3,2.9,3.36,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,19.19,48.75,22,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,28.34,42.09,23.2,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,17.59,71.01,7.53,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,17.61,69.44,12.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
