"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","UC Browser","NetFront","Maxthon","TheWorld","iPod Touch","Sony PS3","Samsung","Obigo","Chromium","Epiphany","Windows Media Player","AppleWebKit"
Afghanistan ,42.35,26.64,13.53,3.7,0,1.14,7.21,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,35.56,16.29,20.98,20.65,2.08,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,32.44,29.17,26.25,5.46,2.3,1.07,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,14.75,53.59,20.55,2.46,0,0,4.94,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.12,18.11,54.9,3.2,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,32.17,21.95,39.06,4.1,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,40.45,18.75,18.67,4.7,0,0,8.75,1.17,0,0,2.95,0,0,0,0,0,1.35,0,0,0,0
 ,53.98,17.8,28.03,11.11,1.73,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,29.11,37.55,20.23,4.4,0,0,4.77,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,33.4,32.6,26.81,2.27,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,31.43,25.57,33.77,5.06,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,39.77,20.34,26.16,9.93,1.1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,15.61,17.67,15.9,1.79,0,0,44.34,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,30.05,37.76,18.02,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,29.57,17.75,8.5,1.96,0,0,33.2,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,38.19,20.41,20.82,16.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,50.27,19.73,24.24,3.14,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,33.55,34.93,21.92,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,30.06,31.54,22.51,12.12,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,21.06,44.32,15.32,3.86,1.01,0,9.76,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,26.96,41.28,24.68,1.07,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,31.43,22.53,34.98,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0
Djibouti ,37.95,28.36,22.32,1.45,0,0,6.46,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,33.76,19.94,30.96,9.45,0,0,2.11,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0
Tajikistan ,18.86,14.81,21.85,1.71,0,0,36.5,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,31.55,33.54,25.47,5.14,1.26,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,38.42,18.2,35.92,2.97,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,27.11,58.28,7.55,1.61,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,34.75,23.84,13.56,17.9,0,1.1,5.75,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),40.71,31.36,13.92,3.3,0,0,5.03,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,37.63,23.17,24.41,10.49,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,43.99,28.62,9.89,12.44,0,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,36.09,21.93,34.11,4.56,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,35.17,31.89,13.24,1.9,0,0,10.85,3.03,0,0,1.06,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,45.72,17.7,20.43,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,20.15,49.19,9.98,3.26,1.11,1.38,9.09,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,41.89,27.74,15.51,5.36,0,0,5.33,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,37.84,25.57,14.62,5.32,0,0,10.89,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,91.79,5.72,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,23.36,28.97,33.67,3.85,0,0,6.55,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,28.23,9.31,6.41,1.49,0,0,46.58,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,35.54,33.71,14.86,3.64,0,0,3.42,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,22.76,27.13,32.19,1.84,0,0,7.88,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,38.13,17.81,26.68,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,56.05,15.33,12.72,11.09,1.33,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,40.9,16.55,10.09,2.67,0,0,23.11,2.28,0,0,0,0,0,0,0,0,2.47,0,0,0,0
Lesotho ,46.91,15.99,9.67,1.91,0,0,17.11,3.94,0,0,1.07,0,0,0,0,1.06,0,0,0,0,0
San Marino ,36.25,29.89,19.69,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,19.61,11.53,12.18,2.44,3.25,2.25,32.82,12.41,0,1.15,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,43.08,15.63,27.87,9.29,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),33.53,36.54,10.99,2.23,0,0,10.78,2.01,0,0,1.32,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,27.38,47.09,12.24,4.41,0,0,4.4,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,24.59,21.71,8.75,1.99,0,0,23.65,12.11,0,1.6,2.19,0,0,0,0,0,0,0,0,0,0
Liberia ,47.74,22.91,14.06,8.9,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,39.17,22.85,8.79,2.11,0,0,18.1,4.44,0,1.1,0,0,0,0,0,0,0,0,0,0,0
Burundi ,33.24,40.13,12.3,2.44,0,0,8.72,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,29.89,25.39,24.34,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,25.68,23.49,5.57,2.74,1.55,1.08,25.66,8.97,0,2.56,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,41.67,35.59,15.31,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,36.83,22.2,12.42,0,0,0,18.75,3.63,0,3.11,1.13,0,0,0,0,0,0,0,0,0,0
Samoa ,30.27,44.15,13.1,3.29,0,0,3.3,2.86,0,0,0,0,0,0,0,0,0,0,1.09,0,0
