"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Chromium","SonyEricsson","Obigo","Silk","Phantom","Openwave Mobile Browser","Iron","Midori","Kindle","Iceweasel"
Suriname ,38.57,17.19,5.92,12.87,3.02,15.27,0,0,1.95,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,29.06,27.78,23.3,7.14,8.65,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,22.82,19.54,7.79,9.4,3.69,7.05,0,0,24.81,1.18,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,26.12,8.06,4.97,15.88,8.42,12.43,0,0,6.89,4.81,4.04,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,39.09,14.22,18.36,10.67,7.08,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0
Guyana ,46.41,14.64,3.84,21.68,1.58,4.66,0,0,1.79,0,0,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,42.35,22.23,12.26,9.89,3.38,6.11,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,21.36,4.9,2.93,37.07,0,5.53,0,0,15.51,0,5.97,1.75,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,28.49,4.41,1.85,7.92,5,8.38,0,1.02,25.22,0,9.78,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,42.43,16.1,9.77,15.76,2.66,9.66,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,7.41,6.15,1.33,8.64,1.32,11.69,0,0,31.79,0,9.17,4.87,5.22,0,0,0,0,0,0,0,0,0,0,1.7,0,3.42,4.2,0,0,0,0
Antigua and Barbuda ,46.68,16.34,10.85,11.02,2.36,7.64,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,5.09,5.54,1.14,3.25,0,26.87,0,0,37.03,0,3.03,10.83,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0
Kyrgyz Republic ,46.6,6.12,2.51,7.89,2.77,6.74,0,1.57,19.28,0,1.92,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,25.49,33.2,21.12,10.05,4.62,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,11.9,9.55,0,73.88,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,13.25,9.81,1.91,14.23,0,2.59,0,0,44.68,0,4.03,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,54.01,13.94,7.53,13.25,1.31,5.16,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0
Martinique ,44.2,15.51,6.44,12.63,2.62,15.91,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,20.59,15.98,3.64,9.49,2.16,9.41,0,0,22.18,2.1,2.03,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,35.3,23.4,14.3,8.12,8.14,7.71,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,25.33,16.01,4.5,20.93,4.85,8.35,0,0,7.26,0,5.31,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,25.19,19.02,3.36,22.82,1.15,3.87,0,0,7.64,1.27,7.25,5.21,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
